Hospital Names,Addresses,Category,Contact Info
St. Victoria Hospital,"Address: 444 J. P. Rizal St., 1800 Marikina City",Level 2/Secondary,Contact No.: 4751552 loc. 114
Juan M. Duyan Memorial District Hospital,"Address: Rizal, KalingaCategory: Level 1/Primary",Contact Number: 0917-6244527,
"Sta. Teresita Hospital (STH), Inc.",Address: Fortuna Marcos Ilocos Norte,Category:Level 3/Tertiary,Contact No.0917-5601046
Kalinga Provincial Hospital,"Address: Tabuk, KalingaCategory: Level 2/Secondary",Contact Number: 0920-5078138,
Barlig District Hospital,"Address: Barlig, Mountain ProvinceCategory: Level 2/Secondary",Contact Number: 0915-4918729,
Luis Hora Memorial Regional Hospital,"Address: Bauko, Mountain Province",Category: Level 2/Secondary,Contact Number: 0919-4418559
Bessao District Hospital,"Address: Bessao, Mountain ProvinceCategory: Level 2/Secondary",Contact Number: 0920-7005356,
Bontoc General Hospital,"Address: Bontoc, Mountain ProvinceCategory: Level 2/Secondary",Contact Number: (074) 602-1130,
Natonin Community Hospital,"Address: Natonin, Mountain ProvinceCategory: Level 1/Primary",Contact Number: none,
Paracelis District Hospital,"Address: Paracelis, Mountain ProvinceCategory: Level 1/Primary",Contact Number: 0918-5289114,
Bangued Christian Hospital,"Address: Bangued, Abra",Category: Level 2/Secondary,Contact Number: (074) 752-8503
Valera Medical Hospital,"Address: Bangued, Abra",Category: Level 1/Primary,Contact Number: none
Dr. Petronilo V. Seares Sr. Memorial Hospital,"Address: Bangued, Abra",Category: Level 2/Secondary,Contact Number: (074) 752-8350/752-7695
The Medical City,"Address: The Medical City Compound, Ortigas Ave., Pasig City",Level 4/Specialty,Contact no.16006356789 loc. 6271
St. Theresa Wellness Center,"Address: Talogtog, Dolores Abra",Category: Level 1/Primary,Contact Number: 0918-3662104
Palawan Adventist Hospital,"Address: Junction II, San Pedro, Puerto Princesa City, Palawan",Category: Level 2/Secondary,Contact No.: 433-2151
Triumph of the Cross Hospital,"Address: Manabo, Abra",Category: Level 1/Primary,Contact Number: none
Almora General Hospital,"Address: Bulanao, Tabuk Kalinga",Category: Level 2/Secondary,Contact Number: (074) 423-0710/0918-5639153
Holy Trinity Medical Clinic,"Address: Bulanao, Tabuk",Category: Level 1/Primary,Contact Number: 0921-6850418
St. Peter Claver Hospital,"Address: Dagupan, Tabuk Kalinga",Category: Level 1/Primary,Contact Number: 0918-8710781
Tabuk Family Clinic,"Address: Tabuk, Kalinga",Category: Level 1/Primary,Contact Number: 0920-3532679
St. Theodore's Hospital,"Address: Sagada, Mountain Province",Category: Level 1/Primary,Contact Number: 0921-5353032
Good News Clinic,"Address: Banaue, Ifugao",Category: Level 1/Primary,Contact Number: (074)386-4045
St. Louis University Hospital of the Sacred Heart,"Address: Assumption Rd. Ext., Baguio City",Category: Level 4/Specialty,Contact Number: (074) 443-20000/5624
Camarines Norte Provincial Hospital,"Address:Daet, Camarines Norte",Category:Level 3/Tertiary,Contact No.056-7215457
Palawan Bapitist Hospital,"Address: Roxas, Palawan",Category: Level 1/Primary,Contact No.: 0918-7065184
RTN Foundation Inc. Hospital,"Address: RTNMC, Ro Tuba, Bataraza, Palawan",Category: Level 1/Primary,Contact No.: 433-2652
MMG-PPC Cooperative Hospital,"Address: Corner Burgos and Mabini Sts., Puerto Princesa, Palawan",Category: Level 2/Secondary,Contact No.: 433-6137
Sagrado Medical & Children's Clinic,"Address: Moreno Subdivision, District II, Brooke's Point, Palawan",Category: Level 1/Primary,Contact No.: 0918-9115415
Beracha Medical Clinic,"Address: National Highway, Brooke's Point, Palawan",Category: Level 1/Primary,Contact No.: 0917-5530070
Don Manuel Lopez Memorial District Hospital,"Address: Gumamela, Balayan, Batangas",Category: Level 2/Secondary,Contact No.: (043) 211-4169
Bauan General Hospital,"Address: S. Ilagan St., Bauan, Batangas",Category: Level 2/Secondary,Contact No.: (043)-7271258; 980-5274 (fax)
Calatagan Medicare Hospital,"Address: Apacible St., Calatagan, Batangas",Category: Level 1/Primary,Contact No.: 0920-3382907
Martin Marasigan Memorial Hospital,"Address: Malvar cor. Mabini St., Cuenca, Batangas",Category: Level 2/Secondary,Contact No.: (043)-3421204 / 772-0420
Laurel Municipal Hospital,"Address: Bgy. Ticub, Laurel, Batangas",Category: Level 1/Primary,Contact No.: 0918-4495964
Don Juan Mayuga Memorial Hospital,"Address: Malinis, Lemery, Batangas",Category: Level 2/Secondary,Contact No.: (043)-4111260 / 214-2169
Lobo Municipal Hospital,"Address: Fabrica, Lobo, Batangas",Category: Level 1/Primary,Contact No.: (043) 404-7131
Apacible Memorial District Hospital,"Address: Lumbagan, Nasugbu, Batangas",Category: Level 2/Secondary,Contact No.: (043) 215-2087 / 931-2803
Mahal na Virgen Maria Sto. Rosario District Hospital,"Address: Namunga, Rosario, Batangas",Category: Level 2/Secondary,Contact No.: (043) 321-1330 / 3112
San Jose District Hospital,"Address: Banay-Banay I, San Jose, Batangas",Category: Level 2/Secondary,Contact No.: (043) 7262230 / 2046
San Juan District Hospital,"Address: Talahiban, San Juan, Batangas",Category: Level 2/Secondary,Contact No.: (043) 633-3756
Sto. Tomas Municipal Hospital,"Address: Malvar Ave., Poblacion II, Sto. Tomas, Batangas",Category: Level 1/Primary,Conact No.: (043) 318-1275 / 3180224
Batangas Regional Hospital,"Address: Kumintang Ibaba, Batangas City, Batangas",Category: Level 4,Contact No.: (043) 725-3016/2016/2890
Fernando Air Base Hospital,"Address: Lipa City, Batangas",Category: Level 2,Contact No.: (043) 756-4282
Lipa City DIstrict Hospital,"Address: Granja, Lipa City, Batangas",Category: Level 2,Contact No.: (043) 756-1313
Laurel Memorial District Hospital,"Address: Santor, Tanauan, Batangas",Category: Level 2/Secondary,Contact No.: (043) 778-1328
Pagamutang Bayan ng Carmona,"Address: 252 San Jose St., Carmona, Cavite",Category: Level 1/Primary,Contact No.: (046) 430-1644
D.B.B. Municipal Hospital,"Address: Brgy. San Esteban, Dasmariñas, Cavite",Category: Level 1,Contact No.: (046) 853-2076 / 1639
G.M.A. Medicare Hospital,"Address: Congressional Road, Brgy., Memije, G.M.A., Cavite",Category: Level 1/Primary,Contact No.: (046) 890-0868
Gen. Trias Medicare Hospital,"Address: Brgy. Pinagtipunan, Gen. Trias, Cavite",Category: Level 1/Primary,Contact No.: (046) 887-1044
Kawit Kalayaan Hospital,"Address: San Sebastian, Kawit, Cavite",Category: Level 2,Contact No.: (046) 686-0124
Cavite Municipal Hospital,"Address: Garita A., Maragondon, Cavite",Category: Level 1,Contact No.: (046) 412-0312
Naic Medicare Hospital,"Address: Timalan Concepcion Rd, Naic, Cavite",Category: Level 1,Contact No.: (046) 412-0312
Dra. Olivia Salamanca Memorial District Hospital,"Address: P. Gomez. St., Cavite City, Cavite",Category: Level 2,Contact No.: (046) 431-0552
Cavite Naval Hospital,"Address: Fort San Felipe, Cavite City, Cavite",Category: Level 2/Secondary,Contact No.: (046) 431-0469
Major Danilo Atienza Air Base Hospital,"Address: Sangley Point, Cavite City, Cavite",Category: Level 1/Primary,Contact No.: (046) 431-7156
Ospital ng Tagaytay,"Address: Bacolot. St., Kaybagal South, Tagaytay City",Category: Level 1/Primary,Contact No.: (046) 483-2160
Gen. Emilio Aguinaldo Memorial Hospital,"Address: Brgy. Luciano, Trece Martires City",Category: Level 4,Contact No.: (046) 419-0123
Pagamutang Pangmasa ng Laguna,"Address: Maitim, Bay, Lagunua",Category: Level 1/Primary,Contact No.: (049) 536-8357/2574
Ospital ng Biñan (Biñan Community Hospital),"Address: Canlalay, Biñan, Laguna",Category: Level 2,Contact No.: (049) 511-4119/4622
Our Lady of Lourdes Hospital,"Address: 46 P. Sanchez St., Sta. Mesa",Level 4/Specialty,Contact No.: 7163901 to 20/7140046
Alamada Provincial Community hospital,"Address:Alamada, Cotabato, North Cotabato",Category:Level 1,Contact No.0921-5443410 / 0928-5019676
Notre Dame de Chartres Hospital,"Address: 25 Gen. Luna Road, Baguio City",Category: Level 3,Contact Number: (074) 304-5960/619-8532
Chinese General Hospital and Medical Center,"Address: 286 Blumentrit Street, Sta. Cruz, Manila 1003",Level 4/Specialty,Contact No.: 7114141
Lutheran Medical Mission and Rehabilitation Foundation Inc.,"Address: Abatan, Buguias Benguet",Category: Level 2/Secondary,Contact Number: 0918-5004307
Philippine Orthopedic Hospital,"Address: Banaue Avenue, Quezon City",Level 4/Specialty,Contact No.: 7320454
Lepanto Consolidated Mining Company Hospital,"Address: Mankayan, Benguet",Category: Level 2/Secondary,Contact Number: (074) 452-8041
Sto. Nino Hospital,"Address: Pacdal, Tuba Benguet",Category: Level 1/Primary,Contact Number: 0918-9193266
Sta. Teresita General Hospital,"Address: 100 D.Tuazon Avenue, Barangay Lourdes, Quezon City, Philippines",Level 3/Tertiary,Contact No.: 7810301 to 06
Aleosan District Hospital,"Address:Aleosan, Cotabato North Cotabato",Category:Level 2/Secondary,Contact No.0908-8807765
"Dr. Fe Del Mundo Medical Center Foundation Phils, Inc.","Address: 11 Banaue Street, Brgy. Doña Josefa, Tatalon Quezon City, Philippines",Level 4/Specialty,Contact No.: 7120845-50
Quezon Institute,"Address: E. Rodriguez Sr. Ave.,Quezon City 1113, Philippines",Level 4/Specialty,Contact No.: (02) 781-3761 to 65
U.E.R.M. Memorial Medical Center,"Address: 64 Aurora Boulevard, Barangay Doña Imelda, Quezon City, Philippines 1113",Level 4/Specialty,Contact No.: 7161853
Arakan Valley District Hospital,"Address: Antipas, Cotabato",Nort Cotabato,Category:.Level 1
Cotabato Provincial Hospital,"Address:Amas, Kidapawan North Cotabato",Category:Level 2,Contact No.064-2782070/ 0926-4290727
Bukidnon Provincial Hospital- Kalilangan,"Address: West Poblacion, Kalilangan Bukidnon",Category: Level 1,Contact Number: none
Ospital ng Cabuyao,"Address: Limacauco Subd., Brgy. III, Cabuyao, Laguna",Category: Level 2,Contact No.: (049) 832-1782
Bukidnon Provincial Hospital- Kibawe,"Address: Poblacion, Kibawe Bukidnon",Category: Level 2,Contact Number: (088) 357-1022/1023
Bukidnon Provincial Hospital- Maramag,"Address: North Poblacion, MaramagCategory: Level 3/Tertiary",Contact Number: (088) 222-5118,
Makati Medical Center,"Address: 2 Amorsolo St, San Lorenzo, Makati City 1229, Philippines",Level 4/Specialty,Contact No.: (02) 888-8999
Bukidnon Provincial Hospital - Malitbog,"Address: Poblacion, Malitbog Bukidnon",Category: Level 1/Primary,Contact Number: 0905-6910874
Bukidnon Provincial Hospital- Manolo Fortich,"Address: Poblacion, Manolo Fortich Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 230-2111
Paranaque Doctor's Hospital,"Address: 175 Doña Soledad Ave., Better Living Subdivision, Parañaque, Philippines",Level 3/Tertiary,Contact No.: 8281340/7760644
Central Mindanao University Hospital,"Address: Musuan, Maramag BukidnonCategory: Level 1/Primary",Contact Number: (088) 356-1911/1910,
University Health Service,"Address: narra Rd., Forestry Campus, U.P. Los Baños",Category: Level 2/Secondary,Contact No.: (049) 535-3247 / 536-2470
Dr. Amado B. Diaz Provincial Foundation Hospital,"Address:Pob. 4, Midsayap, Cotabato",Category:Level 1/Primary,Contact No.064-2298366
Medical Center Parañaque Inc.,"Address: Dr. A. Santos Ave., Sucat Road, 1700, Paranaque City",Level 4/Specialty,Contact No.: 8256911-15
Bukidnon Provincial Hospital - San Fernando,"Address: Poblacion, San Fernando BukidnonCategory: Level 1/Primary",Contact Number: none,
Perpetual Help Medical Center,"Address: Alabang-Zapote Road, Talon Uno, Pamplona, Las Piñas,1740, Philippines",Category: Level 4/Specialty Hospital,Contact No.: (02)874-8515
Fr. Tulio Favali Municipal Hospital,"Address: Pob. Tulunan, Cotabato",North Cotabato,Category:Level 1/Primary
Bukidnon Provincial Hospital- Talakag,"Address: Poblacion, Talakag, Bukidnon",Category: Level 1/Primary,Contact Number: none
Bukidnon Provincial Medical Center,"Address: Malaybalay City, Bukidnon",Category: Level 3/Tertiary,Contact Number: (088) 221-5511/5516
Luisiana District Hospital,"Address: Fabricante St., Luisiana, Laguna",Category: Level 2/Secondary,Contact No.: (049) 555-4071/4572
Callejo Medical Clinic,"Address: 545 A. Real Street, Talon I, 1747, Las Piñas City",Level 1/Primary,Contact No.: 8752950
Catarman District Hospital,"Address: Poblacion Catarman, Camiguin",Category: Level 1/Primary,Contact Number: (088) 387-7002
Camiguin General Hospital,"Address: Brgy. Lakas, Mambajao Camiguin",Category: Level 2/Secondary-DOH Retained,Contact Number: (088) 387-1216
Majayjay Medicare Hospital,"Address: Brgy. Talortor, Majayjay",Category: Level 1/Primary,Contact No.: (049) 305-4504 / 573-6385
Alabang Medical Clinic,"Address: Alabang Zapote Road cor. Pelayo Village,Talon Tres, Las Piñas, Philippines",Category: Level 2/Secondary,Contact No.: 8742506/8740164
Medicare Community Hospital-Jimenez,"Address: Poblacion, Jimenez Misamis Occidental",Category: Level 1/Primary,Contact Number: (088) 272-3911
Kidapawan City Hospital,"Address: Quezon Blvd., Kidapawan City",Category:Level 1/Primary,Contact No.064-2885029
Tudela Municipal Hospital,"Address: Poblacion, Tudela Misamis Occidental",Category: Level 1/Primary,Contact Number: 0918-3592693
Calamba District Hospital,"Address: Poblacion, Calamba Misamis Occidental",Category: Level 2/Secondary,
Golden Acres Doctors Hospital,"Address: B5 L5 Crystal Street, Golden Acres Subdivision, Talon V, Las Piñas, Philippines",Level 2/Secondary,Contact No.: 8060039/2026
Misamis Occidental Provincial Hospital,"Address: Independence St., Lower Lancangan Oroquieta City, Misamis Occidental",Category: Level 3/Tertiary,Contact Number: (088) 531-1529/1042/531-1529
Alabang Medical Center,Address: National Highway,"Muntinlupa City 1776, Philippines",Category: Level 3/Tertiary
Mlang District Hospital,"Address:Mlang, Cotabato, North Cotabato",Category:Level 2/Secondary,Contact No.064-4520018 /2684042
Nagcarlan District Hospital,"Address: F. Baltazar, Nagcarlan, Laguna",Category: Level 2/Secondary,Contact No.: (049) 563-1014
Medical Center Muntinlupa,"Address: 38 National Road, Putatan, Muntinlupa, Philippines",Category: Level 3/Tertiary,Contact No.: (02)8620162-63
Mayor Hilarion A. Ramiro Sr. Regional Training and Teaching Hospital,"Address: Maningcol, Ozamis City Misamis Occidental",Category: Level 3/Tertiary,Contact Number: (088) 521-0022/521-0440
S.M. Lao Memorial City General Hospital,"Address: Manabay, Ozamis City Misamis Occidental",Category: Level 2/Secondary,Contact Number: (088) 521-1240/521-1803
Asian Hospital & Medical Center,"Address: 2205 Civic Drive, Filinvest Corporate City Alabang, Muntinlupa City,1780, Philippines",Category: Level 3/Tertiary,Contact No.: (02)7119000-02/8765710
Gen. J Cailles Memorial District Hospital,"Address: Tavera St., Pakil",Category: Level 2/Secondary,Contact No.: (049) 557-0215
Pres. Roxas Provincial Community Hospital,"Address:New Cebu, Pres. Roxas, Cotabato",Category:Level 1/Primary,Contact No.0919-2734948
Ospital ng Muntinlupa,"Address: Civic Drive, Filinvest, Alabang,Muntinlupa City,1780, Philippines",Category: Level 3/Tertiary,Contact No.: 771-0128
Misamis Oriental Provincial Hospital - Magsaysay,"Address: Cabubuhan Magsaysay, Misamis Oriental",Category: Level 1/Primary,Contact Number: 0919-8789935
Alabang Medical Clinic-Muntinlupa Branch,"Address: 1 National Road, Putatan, Muntinlupa City, 1702, Philippines",Category: Level 2/Secondary,Contact No.: 8610041/0051
San Pedro Municipal Hospital,"Address: Phase I, Holiday Homes, San Antonio, San Pedro, Laguna",Category: Level 1/Primary,Contact No.: (049) 420-1924
Misamis Oriental Provincial Hospital - Initao,"Address: Codilla St., Poblacion, Initao Misamis OrientalCategory: Level 2/Secondary",Contact Number: (088) 227-0585,
USM Hospital,"Address:Kabacan, Cotabato",Category:Level 2/Secondary,Contact No.064-2482346
Fatima Medical Center Inc.,"Address: 120 McArthur Highway, Valenzuela City, Philippines",Category: Level 4/Specialty,Contact No.: 2932703-06
Jasaan Municipal Hospital,Address: Lower Jasaan Misamis OrientalCategory: Level 1/Primary,Contact Number: (088) 227-60585,
Laguna Provincial Hospital,"Address: J. de Leon St., Sta. Cruz, Laguna",Category: Level 3/Tertiary,Contact No.: (049) 808-1110/1984
Sanctissimo Rosario General Hospital,"Address: 2 Espiritu Street, Marulas, Valenzuela City, Philippines",Level 2/Secondary,Contact No.: 2916985
Kalamansig Municipal Hospital,"Address: Kalamansig,Sultan Kudarat",Category:Level 1/Primary,Contact No.064-2046184 / 0918-2320481
Calalang General Hospital,"Address: 16 R. Valenzuela Street, MacArthur Highway, Manila, Philippines",Category: Level 2/Secondary,Contact No.: (02)291-6801-02
Misamis Oriental Provincial Hospital- Balingasag,"Address: Poblacion, Balingasag Misamis OrientalCategory: Level 2/Secondary",Contact Number: (088) 227-20907,
Mismis Oriental Provincial Hospital- Claveria,"Address: Poblacion, Claveria Misamis Oriental",Category: Level 1/Primary,Contact Number: (088) 350-1240
MCU-FDTMF Hospital,"Address: Epifanio delos Santos Avenue (Edsa), Caloocan City Philippines",Category: Level 4/Specialty,Contact No.: 367-2031 to 45
Misamis Oriental Provincial Hospital- Manticao,Address: Poblacion Manticao Misamis Oriental,Category: Level 2/Secondary,Contact Number: 0919-5683888
Sta. Rosa Community Hospital,"Address: LM Subdivision., Brgy., Market Area, Sta. Rosa, Laguna",Category: Level 2/Secondary,Contact No.: (049) 534-1801
Misamis Oriental Provincial Hospital - Talisayan,Address: Poblacion Talisayan Misamis Oriental,Category: Level 2/Secondary,Contact Number: (088) 720-1741
John Paul Hospital,"Address: 26 M. Ponce St., Tirad Pass, Valenzuela City, 1400, Philippines",Category: Level 2/Secondary,Contact No.: 3618959 Fax 3612401
Dr. Jose P. Rizal Memorial District Hospital,"Address: Bucal, Calamba City, Laguna",Category: Level 2/Secondary,Contact No.: (049) 834-2702
Dona Maria D. Tan Memorial Hospital,"Address: Baybay, Lantic Tangub City Misamis Occidental",Category: Level 2/Secondary,Contact Number: (088) 354-1656/354-1658
Bernardino General Hospital,"Address: 680 Quirino Highway, San Bartolome Novaliches, Quezon City, Philippines",Level 2/secondary,Contact No.: (02) 9355262/9379183
Northern Mindanao Medical Center,"Address: Capitol Compound, Cagayan de Oro City",Category: Level 4/DOH Hospital,Contact Number: (088) 227-21794
Valdez - Padron Hospital,"Address: Galud, Novaliches, Quezon City, Philippines",Category: Level 1/Primary,Contact No.: 4199339
Camp Evangelista Station Hospital,Address: Camp Evangelista Patag Cagayan de Oro City,Category: Level 2/Secondary,Contact Number: (088) 227-26821
JR Borja General Hospital,"Address: Serina St., Carmen Cagayan de Oro City",Category: Level 2/Secondary,Contact Number: (088) 227-23558/723-400/898-2984
Misamis Oriental Provincial Hospital - Gingoog,"Address: Dona Graciana St., Gingoog City",Category: Level 2/Secondary,Contact Number: (088) 427-417
Panlalawigan Pagamutan ng Laguna,"Address: Gen Luna St., San Pablo City, Laguna",Category: Level 3/Tertiary,Contact No.: (049) 561-0311/1282
Amai Pakpak Medical Center,"Address: Marawi City, Lanao del Sur",Category: Level 2/Secondary,Contact Number: (063) 352-0070/352-0274
Lanao del Norte Provincial Hospital,"Address: Sagadan, Baroy Lanao del NorteCategory: Level 2/Secondary",Contact Number: (063) 373-6225,
Balo-i Provincial Hospital,"Address: Balo-i, Lanao del Norte",Category: Level 1/Primary,Contact Number: none
St. Luke's Medical Center,"Address: 279 E. Rodriguez Sr. Boulevard, Quezon City, 1112 Philippines",CategLevel 4/Specialty,Contact No.: (632) 723-0101
National Children's Hospital,"Address: 264 E. Rodriguez Sr. Avenue, Quezon City",Category: Level 4/ Specialty,Contact No.: 7240656 to 59
Delos Santos - STI Medical Center,"Address: 201 E. Rodriguez Sr. Boulevard, Quezon City, Metro Manila",Category: Level 4/Specialty,Contact No.: 7230041 loc. 100/101 /7220773/7244540
Kapatagan Provincial Hospital,"Address: Poblacion, Kapatagan Lanao del Norte",Category: Level 2/Secondary,Contact Number: (063) 382-8030
Kolambugan Provincial Hospital (Formerly Kolambugan District Hospital),"Address: Kolambugan, Lanao del Norte",Category: Level 2/Secondary,Contact Number: (063) 355-4690
World Citi Medical Center,"Address: 960 Aurora Boulevard,Quezon city",Level 4/Specialty,Contact No.: 9138380/9138383/4384585
Kauswagan Provincial Hospital,"Address: Poblacion, Kauswagan Lanao del Norte",Category: Level 1/Primary,Contact Number: none
Gregorio T. Lluch Memorial Hospital,"Address: Pala-o, Iligan City",Category: Level 3/Tertiary,Contact Number: (063) 221-2536/357-6751
Pahilan Family Clinic,"Address: E. Aguinaldo St., Poblacion, Don Carlos Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 226-2476
Ermavi Hospital (Formerly Ermavi Clinic),"Address: Kibawe, Bukidnon",Category: Level 1/Primary,Contact Number: (088) 226-2476
Phillips Memorial Hospital,"Address: Camp Phillips, Manolo Fortich Bukidnon",Category: Level 3/Tertiary,Contact Number: (088) 855-5976 local 3637
Aznar Medical Clinic,"Address: J. Rizal St. South Poblacion, Maramag",Bukidnon,Category: Level 1/Primary
Bongcas Holy Child Hospital,"Address: Purok 2 South Poblacion, Maramag Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 356-1254
Maramag Mediclinic Hospitals & Laboratory (formerly Maramag Mediclinic),"Address: Purok 2, Poblacion, Maramag Bukidnon",Category: Level 1/Primary,Contact Number: (088) 238-5547
St. Joseph Southern Bukidnon Hospital,Address: 8714 Maramag Bukidnon,Category: Level 2/Secondary,Contact Number: (088) 356-1021/1022
Lambayong District Hospital,"Address:Maligaya, Lambayong",Sultan Kudarat,Category:Level 2/Secondary
Dr. Alberto M. Pastor Hospital,"Address: Salawagan, Quezon Bukidnon",Category: Level 1/Primary,Contact Number: (088) 355-1141
St. Ann Medical Hospital,"Address: Poblacion, Quezon Bukidnon",Category: Level 1/Primary,Contact Number: (088) 355-1134
Maraat Medical Hospital,Address: Poblacion Quezon Bukidnon,Category: Level 2/Secondary,Contact Number: (088) 355-1464
Lebak Medicare Community Hospital,"Address:Lebak, Sultan Kudarat",Category:Level 1/Primary,Contact No.0910-3996771
Kisolon Emergency Hospital,Address: Poblacion Kisolon Sumilao Bukidnon,Category: Level 1/Primary,Contact Number: 0928-8784140/(088) 813-7510/7511
Christ the King General Hospital,"Address: 130 Real Street, Pamplona Uno","Las Piñas, Philippines",Level 2/Secondary
Lebak Doctors Hospital,"Address:Pob. 1 , Lebak, Sultan Kudarat",Category:Level 1/Primary,Contact No.064-2053065
St. Claire Hospital,"Address: Poblacion, Quezon Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 254-5132
Simbulan Sto. Nino Hospital,Address: Sayre Highway Brgy Norte Don Carlos Bukidnon,Category: Level 2/Secondary,Contact Number: (088) 226-2545/2464
Senator Ninoy Aquino Municipal Hospital,"Address:Senator Ninoy Aquino, Sultan Kudarat",Category:Level 1/Primary,Contact No.0926-6073325
Las Piñas district hospital,"Address: Bernabe Compound, Pulang Lupa, Las Piñas City 1701, Philippines",Level 3/Tertiary,Contact No.: 8730556/57
Sultan Kudarat Provincial Hospital,"Address:Isulan, Sultan Kudarat",Category:Level 2/Secondary,Contact No.064-2014257/4259
Abella Midway Hospital,"Address: 125 P. Valero St. Valencia City, Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 828-3533/222-2660
Esther Hospital,"Address: P2 Poblacion Highway Valencia City, Bukidnon",Category: Level 1/Primary,Contact Number: (088) 828-4444
Medidas Medical Clinic,Address: Roxas Street Valencia City BukidnonCategory: Level 1/Primary,Contact Number: (088) 222-2165,
Lake Sebu Municipal Hospital,"Address: Lake Sebu, South Cotabato",Category:Level 1/Primary,Contact No: none
Valencia Medical Hospital,"Address: Poblacion Valencia City, Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 222-2337
Norala District Hospital,"Address: Norala, South Cotabato",Category: Level 1/Primary,Contact No.083-2341009 / 0920-7682809
Polomolok Municipal Hospital,"Address: Polomolok, South Cotabato",Category: Level 1/Primary,Contact No.083-2256010
Roel I. Senador Md Memorial Hospital,"Address: Tupi, South Cotabato",Category: Level 1/Primary,Contact No. 0919-3527232
South Cotabato Provincial Hospital,Address: Koronadal City South Cotabato,Category:Level 4/Special,Contact No.083-2283206 / 3506
Asingan Medicare Community Hospital,Address: Asingan Pangasinan,Category:Level 1/Primary,Contact No.75-563-2934
Biliran Provincial Hospital,"Address: Naval, Biliran",Category: Level 2/Secondary,Contact Number: (053) 500-9918
Glan Medicare Community Hospital,"Address: Glan, Sarangani",Category:Level 1/Primary,Contact No.0929-8233299
Kiamba District Hospital,"Address:Kiamba, Sarangani",Category: Level 1/Primary,Contact No. 083-5094141
Maasim Municipal Hospital,"Address:Maasim, Sarangani",Category:Level 1/Primary,Contact No.0919-2895514
Maitum Municipal Hospital,"Address: Maitum, Sarangani",Category:Level 1/Primary,Contact No.0919-5916079
Malungon Municipal Hospital,"Address: Malungon, Sarangani",Category:Level 1/Primary,Contact No.0919-2332257
General Santos City District Hospital,"Address:Fernandez St., Lagao",Gen. Santos City,Category:Level 2/Secondary
General Santos Doctors Hospital,"Address:Nat'l. Highway, Gen. Santos City",Category:Level 3/Tertiary,Contact No.083-5524990
Cotabato Regional And Medical Center,Address:Sinsuat Ave.Rosary Heights Cotabato City,Category:Level 4/Specialty-DOH Retained,Contact No.064-4212192
"Notre Dame Hospital & School Of Midwifery,Inc.","Address:Rosary Heights, Cotabato City",Category:Level 3/Tertiary,Contact No.064-4212954/1643
Valencia Medical Hospital,Address: Poblacion Valencia City Bukidnon,Category: Level 2/Secondary,Contact Number: (088) 222-2165
La Nina General Hospital Inc.,Address: ML Quezon St. Poblacion Valencia City BukidnonCategory: Level 2/Secondary,Contact Number: (088) 222-2337,
Valencia Sanitarium and Hospital,"Address: Facoma Subd., Poblacion, Valencia City BukidnonCategory: Level 3/Tertiary",Contact Number: (088) 828-2212,
Bukidnon Community Health Care Center,"Address: C. Fortich St., Purok 15 Valencia City, BukidnonCategory: Level 1/Primary",Contact Number: (088) 828-1489,
Detecio Community Hospital,"Address: Bangcud, Malaybalay City, BukidnonCategory: Level 1/Primary",Contact Number: none,
"Bethel Baptist Hospital, Inc.","Address: Fortich St., Sumpong, Malaybalay City, BukidnonCategory: Level 2/Secondary",Contact Number: (088) 221-2256/813-2229,
Malaybalay Medical Hospital,"Address: Fortich St., Malaybalay City, BukidnonCategory: Level 1/Primary",Contact Number: (088) 221-2254/813-2500,
Malaybalay Polymedic General Hospital,"Address: Fortich St. Brgy. 8 Malaybalay City, Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 221-2316/813-4016
Cotabato Sanitarium,"Address: Brgy. Ungap, Sultan Kudarat, Maguindanao Cotabato City",Category: Level 1/Primary-DOH Retained,Contact No.064-4290082
"Anecito T. Pesante Sr. Memorial Hospital, Inc.","Address:Cor. Tieza Pioneer St., Pob. 1, Midsayap,Cotabato",Category:Level 2/Secondary,Contact No.0920-8078379
St. Jude Thaddeus Women & Children's Hospital,"Address: Datu Mampaalong St. Brgy 6 Malaybalay City, Bukidnon",Category: Level 2/Secondary,Contact Number: (088) 813-4834
"Antipas Medical Specialists Hosp.,Inc.","Address: F. Cajelo St. Pob. Antipas, North Cotabato",Category:Level 2/Secondary,Contact No.0918-4773305
Dr. Jose Fabella Memorial Hospital,"Address: Lope de Vega St., Sta. Cruz, Manila",Level 4/Specialty,Contact No.: 7357144
Dr. Jose Reyes Memorial Medical Center,"Address: San Lazaro Compound, Rizal Avenue, Sta. Cruz, Manila",Level 4/Specialty,Contact No.: 7119491
R and L Medical Clinic,"Address: 7206 Palayan, Aloran Misamis Occidental",Category: Level 1/Primary,Contact Number: (088) 586-0288
Bonifacio Medical Clinic,"Address: Bonifacio, Misamis Occidental",Category: Level 1/Primary,Contact Number: (088) 586-0030
Clinica Ozaraga,"Address: Bonifacio, Misamis Occidental",Category: Level 1/Primary,Contact Number: 0918-7297714/ (088) 586-0007
