Hospital_Names,Addresses,Category,Contact_Info
Pinukpuk District Hospital,,Level 1/Primary,0919-4875424
Western Kalinga District Hospital,,Level 1/Primary,
SDS Medical Center Inc.,"Katipunan Road Cor. Pio del Pilar St., Concepcion 2 Marikina City",Level 2/Secondary,9337078
Kalinga District Hospital,"Lubuagan, Kalinga",Level 1/Primary,0921-7833707
St. Victoria Hospital,"444 J. P. Rizal St., 1800 Marikina City",Level 2/Secondary,
Juan M. Duyan Memorial District Hospital,,Level 1/Primary,0917-6244527
"Sta. Teresita Hospital (STH), Inc.",Fortuna Marcos Ilocos Norte,Level 3/Tertiary,0917-5601046
Kalinga Provincial Hospital,,Level 2/Secondary,0920-5078138
Barlig District Hospital,,Level 2/Secondary,0915-4918729
Luis Hora Memorial Regional Hospital,"Bauko, Mountain Province",Level 2/Secondary,0919-4418559
Bessao District Hospital,,Level 2/Secondary,0920-7005356
Bontoc General Hospital,,Level 2/Secondary,(074) 602-1130
Natonin Community Hospital,,Level 1/Primary,
Paracelis District Hospital,,Level 1/Primary,0918-5289114
Bangued Christian Hospital,"Bangued, Abra",Level 2/Secondary,(074) 752-8503
Valera Medical Hospital,"Bangued, Abra",Level 1/Primary,
Dr. Petronilo V. Seares Sr. Memorial Hospital,"Bangued, Abra",Level 2/Secondary,(074) 752-8350/752-7695
The Medical City,"The Medical City Compound, Ortigas Ave., Pasig City",Level 4/Specialty,
St. Theresa Wellness Center,"Talogtog, Dolores Abra",Level 1/Primary,0918-3662104
Palawan Adventist Hospital,"Junction II, San Pedro, Puerto Princesa City, Palawan",Level 2/Secondary,433-2151
Triumph of the Cross Hospital,"Manabo, Abra",Level 1/Primary,
Almora General Hospital,"Bulanao, Tabuk Kalinga",Level 2/Secondary,(074) 423-0710/0918-5639153
Holy Trinity Medical Clinic,"Bulanao, Tabuk",Level 1/Primary,0921-6850418
St. Peter Claver Hospital,"Dagupan, Tabuk Kalinga",Level 1/Primary,0918-8710781
Tabuk Family Clinic,"Tabuk, Kalinga",Level 1/Primary,0920-3532679
St. Theodore's Hospital,"Sagada, Mountain Province",Level 1/Primary,0921-5353032
Good News Clinic,"Banaue, Ifugao",Level 1/Primary,(074)386-4045
St. Louis University Hospital of the Sacred Heart,"Assumption Rd. Ext., Baguio City",Level 4/Specialty,(074) 443-20000/5624
Camarines Norte Provincial Hospital,"Daet, Camarines Norte",Level 3/Tertiary,056-7215457
Palawan Bapitist Hospital,"Roxas, Palawan",Level 1/Primary,0918-7065184
RTN Foundation Inc. Hospital,"RTNMC, Ro Tuba, Bataraza, Palawan",Level 1/Primary,433-2652
MMG-PPC Cooperative Hospital,"Corner Burgos and Mabini Sts., Puerto Princesa, Palawan",Level 2/Secondary,433-6137
Sagrado Medical & Children's Clinic,"Moreno Subdivision, District II, Brooke's Point, Palawan",Level 1/Primary,0918-9115415
Beracha Medical Clinic,"National Highway, Brooke's Point, Palawan",Level 1/Primary,0917-5530070
Don Manuel Lopez Memorial District Hospital,"Gumamela, Balayan, Batangas",Level 2/Secondary,(043) 211-4169
Bauan General Hospital,"S. Ilagan St., Bauan, Batangas",Level 2/Secondary,(043)-7271258; 980-5274 (fax)
Calatagan Medicare Hospital,"Apacible St., Calatagan, Batangas",Level 1/Primary,0920-3382907
Martin Marasigan Memorial Hospital,"Malvar cor. Mabini St., Cuenca, Batangas",Level 2/Secondary,(043)-3421204 / 772-0420
Laurel Municipal Hospital,"Bgy. Ticub, Laurel, Batangas",Level 1/Primary,0918-4495964
Don Juan Mayuga Memorial Hospital,"Malinis, Lemery, Batangas",Level 2/Secondary,(043)-4111260 / 214-2169
Lobo Municipal Hospital,"Fabrica, Lobo, Batangas",Level 1/Primary,(043) 404-7131
Apacible Memorial District Hospital,"Lumbagan, Nasugbu, Batangas",Level 2/Secondary,(043) 215-2087 / 931-2803
Mahal na Virgen Maria Sto. Rosario District Hospital,"Namunga, Rosario, Batangas",Level 2/Secondary,(043) 321-1330 / 3112
San Jose District Hospital,"Banay-Banay I, San Jose, Batangas",Level 2/Secondary,(043) 7262230 / 2046
San Juan District Hospital,"Talahiban, San Juan, Batangas",Level 2/Secondary,(043) 633-3756
Sto. Tomas Municipal Hospital,"Malvar Ave., Poblacion II, Sto. Tomas, Batangas",Level 1/Primary,(043) 318-1275 / 3180224
Batangas Regional Hospital,"Kumintang Ibaba, Batangas City, Batangas",Level 4,(043) 725-3016/2016/2890
Fernando Air Base Hospital,"Lipa City, Batangas",Level 2,(043) 756-4282
Lipa City DIstrict Hospital,"Granja, Lipa City, Batangas",Level 2,(043) 756-1313
Laurel Memorial District Hospital,"Santor, Tanauan, Batangas",Level 2/Secondary,(043) 778-1328
Pagamutang Bayan ng Carmona,"252 San Jose St., Carmona, Cavite",Level 1/Primary,(046) 430-1644
D.B.B. Municipal Hospital,"Brgy. San Esteban, Dasmariñas, Cavite",Level 1,(046) 853-2076 / 1639
G.M.A. Medicare Hospital,"Congressional Road, Brgy., Memije, G.M.A., Cavite",Level 1/Primary,(046) 890-0868
Gen. Trias Medicare Hospital,"Brgy. Pinagtipunan, Gen. Trias, Cavite",Level 1/Primary,(046) 887-1044
Kawit Kalayaan Hospital,"San Sebastian, Kawit, Cavite",Level 2,(046) 686-0124
Cavite Municipal Hospital,"Garita A., Maragondon, Cavite",Level 1,(046) 412-0312
Naic Medicare Hospital,"Timalan Concepcion Rd, Naic, Cavite",Level 1,(046) 412-0312
Dra. Olivia Salamanca Memorial District Hospital,"P. Gomez. St., Cavite City, Cavite",Level 2,(046) 431-0552
Cavite Naval Hospital,"Fort San Felipe, Cavite City, Cavite",Level 2/Secondary,(046) 431-0469
Major Danilo Atienza Air Base Hospital,"Sangley Point, Cavite City, Cavite",Level 1/Primary,(046) 431-7156
Ospital ng Tagaytay,"Bacolot. St., Kaybagal South, Tagaytay City",Level 1/Primary,(046) 483-2160
Gen. Emilio Aguinaldo Memorial Hospital,"Brgy. Luciano, Trece Martires City",Level 4,(046) 419-0123
Pagamutang Pangmasa ng Laguna,"Maitim, Bay, Lagunua",Level 1/Primary,(049) 536-8357/2574
Ospital ng Biñan (Biñan Community Hospital),"Canlalay, Biñan, Laguna",Level 2,(049) 511-4119/4622
Our Lady of Lourdes Hospital,"46 P. Sanchez St., Sta. Mesa",Level 4/Specialty,7163901 to 20/7140046
Alamada Provincial Community hospital,"Alamada, Cotabato, North Cotabato",Level 1,0921-5443410 / 0928-5019676
Notre Dame de Chartres Hospital,"25 Gen. Luna Road, Baguio City",Level 3,(074) 304-5960/619-8532
Chinese General Hospital and Medical Center,"286 Blumentrit Street, Sta. Cruz, Manila 1003",Level 4/Specialty,7114141
Lutheran Medical Mission and Rehabilitation Foundation Inc.,"Abatan, Buguias Benguet",Level 2/Secondary,0918-5004307
Philippine Orthopedic Hospital,"Banaue Avenue, Quezon City",Level 4/Specialty,7320454
Lepanto Consolidated Mining Company Hospital,"Mankayan, Benguet",Level 2/Secondary,(074) 452-8041
Sto. Nino Hospital,"Pacdal, Tuba Benguet",Level 1/Primary,0918-9193266
Sta. Teresita General Hospital,"100 D.Tuazon Avenue, Barangay Lourdes, Quezon City, Philippines",Level 3/Tertiary,7810301 to 06
Aleosan District Hospital,"Aleosan, Cotabato North Cotabato",Level 2/Secondary,0908-8807765
"Dr. Fe Del Mundo Medical Center Foundation Phils, Inc.","11 Banaue Street, Brgy. Doña Josefa, Tatalon Quezon City, Philippines",Level 4/Specialty,7120845-50
Quezon Institute,"E. Rodriguez Sr. Ave.,Quezon City 1113, Philippines",Level 4/Specialty,(02) 781-3761 to 65
U.E.R.M. Memorial Medical Center,"64 Aurora Boulevard, Barangay Doña Imelda, Quezon City, Philippines 1113",Level 4/Specialty,7161853
Arakan Valley District Hospital,"Antipas, Cotabato, Nort Cotabato",level 1,
Cotabato Provincial Hospital,"Amas, Kidapawan North Cotabato",Level 2,064-2782070/ 0926-4290727
Bukidnon Provincial Hospital- Kalilangan,"West Poblacion, Kalilangan Bukidnon",Level 1,
Ospital ng Cabuyao,"Limacauco Subd., Brgy. III, Cabuyao, Laguna",Level 2,(049) 832-1782
Bukidnon Provincial Hospital- Kibawe,"Poblacion, Kibawe Bukidnon",Level 2,(088) 357-1022/1023
Bukidnon Provincial Hospital- Maramag,,Level 3/Tertiary,(088) 222-5118
Makati Medical Center,"2 Amorsolo St, San Lorenzo, Makati City 1229, Philippines",Level 4/Specialty,(02) 888-8999
Bukidnon Provincial Hospital - Malitbog,"Poblacion, Malitbog Bukidnon",Level 1/Primary,0905-6910874
Bukidnon Provincial Hospital- Manolo Fortich,"Poblacion, Manolo Fortich Bukidnon",Level 2/Secondary,(088) 230-2111
Paranaque Doctor's Hospital,"175 Doña Soledad Ave., Better Living Subdivision, Parañaque, Philippines",Level 3/Tertiary,8281340/7760644
Central Mindanao University Hospital,,Level 1/Primary,(088) 356-1911/1910
University Health Service,"narra Rd., Forestry Campus, U.P. Los Baños",Level 2/Secondary,(049) 535-3247 / 536-2470
Dr. Amado B. Diaz Provincial Foundation Hospital,"Pob. 4, Midsayap, Cotabato",Level 1/Primary,064-2298366
Medical Center Parañaque Inc.,"Dr. A. Santos Ave., Sucat Road, 1700, Paranaque City",Level 4/Specialty,8256911-15
Bukidnon Provincial Hospital - San Fernando,,Level 1/Primary,
Perpetual Help Medical Center,"Alabang-Zapote Road, Talon Uno, Pamplona, Las Piñas,1740, Philippines",Level 4/Specialty Hospital,(02)874-8515
Fr. Tulio Favali Municipal Hospital,"Pob. Tulunan, Cotabato, North Cotabato",level 1/primary,
Bukidnon Provincial Hospital- Talakag,"Poblacion, Talakag, Bukidnon",Level 1/Primary,
Bukidnon Provincial Medical Center,"Malaybalay City, Bukidnon",Level 3/Tertiary,(088) 221-5511/5516
Luisiana District Hospital,"Fabricante St., Luisiana, Laguna",Level 2/Secondary,(049) 555-4071/4572
Callejo Medical Clinic,"545 A. Real Street, Talon I, 1747, Las Piñas City",Level 1/Primary,8752950
Catarman District Hospital,"Poblacion Catarman, Camiguin",Level 1/Primary,(088) 387-7002
Camiguin General Hospital,"Brgy. Lakas, Mambajao Camiguin",Level 2/Secondary-DOH Retained,(088) 387-1216
Majayjay Medicare Hospital,"Brgy. Talortor, Majayjay",Level 1/Primary,(049) 305-4504 / 573-6385
Alabang Medical Clinic,"Alabang Zapote Road cor. Pelayo Village,Talon Tres, Las Piñas, Philippines",Level 2/Secondary,8742506/8740164
Medicare Community Hospital-Jimenez,"Poblacion, Jimenez Misamis Occidental",Level 1/Primary,(088) 272-3911
Kidapawan City Hospital,"Quezon Blvd., Kidapawan City",Level 1/Primary,064-2885029
Tudela Municipal Hospital,"Poblacion, Tudela Misamis Occidental",Level 1/Primary,0918-3592693
Calamba District Hospital,"Poblacion, Calamba Misamis Occidental",Level 2/Secondary,
Golden Acres Doctors Hospital,"B5 L5 Crystal Street, Golden Acres Subdivision, Talon V, Las Piñas, Philippines",Level 2/Secondary,8060039/2026
Misamis Occidental Provincial Hospital,"Independence St., Lower Lancangan Oroquieta City, Misamis Occidental",Level 3/Tertiary,(088) 531-1529/1042/531-1529
Alabang Medical Center,"National Highway, Muntinlupa City 1776, Philippines",level 3/tertiary,
Mlang District Hospital,"Mlang, Cotabato, North Cotabato",Level 2/Secondary,064-4520018 /2684042
Nagcarlan District Hospital,"F. Baltazar, Nagcarlan, Laguna",Level 2/Secondary,(049) 563-1014
Medical Center Muntinlupa,"38 National Road, Putatan, Muntinlupa, Philippines",Level 3/Tertiary,(02)8620162-63
Mayor Hilarion A. Ramiro Sr. Regional Training and Teaching Hospital,"Maningcol, Ozamis City Misamis Occidental",Level 3/Tertiary,(088) 521-0022/521-0440
S.M. Lao Memorial City General Hospital,"Manabay, Ozamis City Misamis Occidental",Level 2/Secondary,(088) 521-1240/521-1803
Asian Hospital & Medical Center,"2205 Civic Drive, Filinvest Corporate City Alabang, Muntinlupa City,1780, Philippines",Level 3/Tertiary,(02)7119000-02/8765710
Gen. J Cailles Memorial District Hospital,"Tavera St., Pakil",Level 2/Secondary,(049) 557-0215
Pres. Roxas Provincial Community Hospital,"New Cebu, Pres. Roxas, Cotabato",Level 1/Primary,0919-2734948
Ospital ng Muntinlupa,"Civic Drive, Filinvest, Alabang,Muntinlupa City,1780, Philippines",Level 3/Tertiary,771-0128
Misamis Oriental Provincial Hospital - Magsaysay,"Cabubuhan Magsaysay, Misamis Oriental",Level 1/Primary,0919-8789935
Alabang Medical Clinic-Muntinlupa Branch,"1 National Road, Putatan, Muntinlupa City, 1702, Philippines",Level 2/Secondary,8610041/0051
San Pedro Municipal Hospital,"Phase I, Holiday Homes, San Antonio, San Pedro, Laguna",Level 1/Primary,(049) 420-1924
Misamis Oriental Provincial Hospital - Initao,,Level 2/Secondary,(088) 227-0585
USM Hospital,"Kabacan, Cotabato",Level 2/Secondary,064-2482346
Fatima Medical Center Inc.,"120 McArthur Highway, Valenzuela City, Philippines",Level 4/Specialty,2932703-06
Jasaan Municipal Hospital,,Level 1/Primary,(088) 227-60585
Laguna Provincial Hospital,"J. de Leon St., Sta. Cruz, Laguna",Level 3/Tertiary,(049) 808-1110/1984
Sanctissimo Rosario General Hospital,"2 Espiritu Street, Marulas, Valenzuela City, Philippines",Level 2/Secondary,2916985
Kalamansig Municipal Hospital,"Kalamansig,Sultan Kudarat",Level 1/Primary,064-2046184 / 0918-2320481
Calalang General Hospital,"16 R. Valenzuela Street, MacArthur Highway, Manila, Philippines",Level 2/Secondary,(02)291-6801-02
Misamis Oriental Provincial Hospital- Balingasag,,Level 2/Secondary,(088) 227-20907
Mismis Oriental Provincial Hospital- Claveria,"Poblacion, Claveria Misamis Oriental",Level 1/Primary,(088) 350-1240
MCU-FDTMF Hospital,"Epifanio delos Santos Avenue (Edsa), Caloocan City Philippines",Level 4/Specialty,367-2031 to 45
Misamis Oriental Provincial Hospital- Manticao,Poblacion Manticao Misamis Oriental,Level 2/Secondary,0919-5683888
Sta. Rosa Community Hospital,"LM Subdivision., Brgy., Market Area, Sta. Rosa, Laguna",Level 2/Secondary,(049) 534-1801
Misamis Oriental Provincial Hospital - Talisayan,Poblacion Talisayan Misamis Oriental,Level 2/Secondary,(088) 720-1741
John Paul Hospital,"26 M. Ponce St., Tirad Pass, Valenzuela City, 1400, Philippines",Level 2/Secondary,3618959 fax 3612401
Dr. Jose P. Rizal Memorial District Hospital,"Bucal, Calamba City, Laguna",Level 2/Secondary,(049) 834-2702
Dona Maria D. Tan Memorial Hospital,"Baybay, Lantic Tangub City Misamis Occidental",Level 2/Secondary,(088) 354-1656/354-1658
Bernardino General Hospital,"680 Quirino Highway, San Bartolome Novaliches, Quezon City, Philippines",Level 2/secondary,(02) 9355262/9379183
Northern Mindanao Medical Center,"Capitol Compound, Cagayan de Oro City",Level 4/DOH Hospital,(088) 227-21794
Valdez - Padron Hospital,"Galud, Novaliches, Quezon City, Philippines",Level 1/Primary,4199339
Camp Evangelista Station Hospital,Camp Evangelista Patag Cagayan de Oro City,Level 2/Secondary,(088) 227-26821
JR Borja General Hospital,"Serina St., Carmen Cagayan de Oro City",Level 2/Secondary,(088) 227-23558/723-400/898-2984
Misamis Oriental Provincial Hospital - Gingoog,"Dona Graciana St., Gingoog City",Level 2/Secondary,(088) 427-417
Panlalawigan Pagamutan ng Laguna,"Gen Luna St., San Pablo City, Laguna",Level 3/Tertiary,(049) 561-0311/1282
Amai Pakpak Medical Center,"Marawi City, Lanao del Sur",Level 2/Secondary,(063) 352-0070/352-0274
Lanao del Norte Provincial Hospital,,Level 2/Secondary,(063) 373-6225
Balo-i Provincial Hospital,"Balo-i, Lanao del Norte",Level 1/Primary,
St. Luke's Medical Center,"279 E. Rodriguez Sr. Boulevard, Quezon City, 1112 Philippines",CategLevel 4/Specialty,(632) 723-0101
National Children's Hospital,"264 E. Rodriguez Sr. Avenue, Quezon City",Level 4/ Specialty,7240656 to 59
Delos Santos - STI Medical Center,"201 E. Rodriguez Sr. Boulevard, Quezon City, Metro Manila",Level 4/Specialty,100/101 /7220773/7244540
Kapatagan Provincial Hospital,"Poblacion, Kapatagan Lanao del Norte",Level 2/Secondary,(063) 382-8030
Kolambugan Provincial Hospital (Formerly Kolambugan District Hospital),"Kolambugan, Lanao del Norte",Level 2/Secondary,(063) 355-4690
World Citi Medical Center,"960 Aurora Boulevard,Quezon city",Level 4/Specialty,9138380/9138383/4384585
Kauswagan Provincial Hospital,"Poblacion, Kauswagan Lanao del Norte",Level 1/Primary,
Gregorio T. Lluch Memorial Hospital,"Pala-o, Iligan City",Level 3/Tertiary,(063) 221-2536/357-6751
Pahilan Family Clinic,"E. Aguinaldo St., Poblacion, Don Carlos Bukidnon",Level 2/Secondary,(088) 226-2476
Ermavi Hospital (Formerly Ermavi Clinic),"Kibawe, Bukidnon",Level 1/Primary,(088) 226-2476
Phillips Memorial Hospital,"Camp Phillips, Manolo Fortich Bukidnon",Level 3/Tertiary,(088) 855-5976 local 3637
Aznar Medical Clinic,"J. Rizal St. South Poblacion, Maramag, Bukidnon",level 1/primary,
Bongcas Holy Child Hospital,"Purok 2 South Poblacion, Maramag Bukidnon",Level 2/Secondary,(088) 356-1254
Maramag Mediclinic Hospitals & Laboratory (formerly Maramag Mediclinic),"Purok 2, Poblacion, Maramag Bukidnon",Level 1/Primary,(088) 238-5547
St. Joseph Southern Bukidnon Hospital,8714 Maramag Bukidnon,Level 2/Secondary,(088) 356-1021/1022
Lambayong District Hospital,"Maligaya, Lambayong, Sultan Kudarat",level 2/secondary,
Dr. Alberto M. Pastor Hospital,"Salawagan, Quezon Bukidnon",Level 1/Primary,(088) 355-1141
St. Ann Medical Hospital,"Poblacion, Quezon Bukidnon",Level 1/Primary,(088) 355-1134
Maraat Medical Hospital,Poblacion Quezon Bukidnon,Level 2/Secondary,(088) 355-1464
Lebak Medicare Community Hospital,"Lebak, Sultan Kudarat",Level 1/Primary,0910-3996771
Kisolon Emergency Hospital,Poblacion Kisolon Sumilao Bukidnon,Level 1/Primary,0928-8784140/(088) 813-7510/7511
Christ the King General Hospital,"130 Real Street, Pamplona Uno, Las Piñas, Philippines",level 2/secondary,
Lebak Doctors Hospital,"Pob. 1 , Lebak, Sultan Kudarat",Level 1/Primary,064-2053065
St. Claire Hospital,"Poblacion, Quezon Bukidnon",Level 2/Secondary,(088) 254-5132
Simbulan Sto. Nino Hospital,Sayre Highway Brgy Norte Don Carlos Bukidnon,Level 2/Secondary,(088) 226-2545/2464
Senator Ninoy Aquino Municipal Hospital,"Senator Ninoy Aquino, Sultan Kudarat",Level 1/Primary,0926-6073325
Las Piñas district hospital,"Bernabe Compound, Pulang Lupa, Las Piñas City 1701, Philippines",Level 3/Tertiary,8730556/57
Sultan Kudarat Provincial Hospital,"Isulan, Sultan Kudarat",Level 2/Secondary,064-2014257/4259
Abella Midway Hospital,"125 P. Valero St. Valencia City, Bukidnon",Level 2/Secondary,(088) 828-3533/222-2660
Esther Hospital,"P2 Poblacion Highway Valencia City, Bukidnon",Level 1/Primary,(088) 828-4444
Medidas Medical Clinic,,Level 1/Primary,(088) 222-2165
Lake Sebu Municipal Hospital,"Lake Sebu, South Cotabato",Level 1/Primary,
Valencia Medical Hospital,"Poblacion Valencia City, Bukidnon",Level 2/Secondary,(088) 222-2337
Norala District Hospital,"Norala, South Cotabato",Level 1/Primary,083-2341009 / 0920-7682809
Polomolok Municipal Hospital,"Polomolok, South Cotabato",Level 1/Primary,083-2256010
Roel I. Senador Md Memorial Hospital,"Tupi, South Cotabato",Level 1/Primary,0919-3527232
South Cotabato Provincial Hospital,Koronadal City South Cotabato,Level 4/Special,083-2283206 / 3506
Asingan Medicare Community Hospital,Asingan Pangasinan,Level 1/Primary,75-563-2934
Biliran Provincial Hospital,"Naval, Biliran",Level 2/Secondary,(053) 500-9918
Glan Medicare Community Hospital,"Glan, Sarangani",Level 1/Primary,0929-8233299
Kiamba District Hospital,"Kiamba, Sarangani",Level 1/Primary,083-5094141
Maasim Municipal Hospital,"Maasim, Sarangani",Level 1/Primary,0919-2895514
Maitum Municipal Hospital,"Maitum, Sarangani",Level 1/Primary,0919-5916079
Malungon Municipal Hospital,"Malungon, Sarangani",Level 1/Primary,0919-2332257
General Santos City District Hospital,"Fernandez St., Lagao, Gen. Santos City",level 2/secondary,
General Santos Doctors Hospital,"Nat'l. Highway, Gen. Santos City",Level 3/Tertiary,083-5524990
Cotabato Regional And Medical Center,Sinsuat Ave.Rosary Heights Cotabato City,Level 4/Specialty-DOH Retained,064-4212192
"Notre Dame Hospital & School Of Midwifery,Inc.","Rosary Heights, Cotabato City",Level 3/Tertiary,064-4212954/1643
Valencia Medical Hospital,Poblacion Valencia City Bukidnon,Level 2/Secondary,(088) 222-2165
La Nina General Hospital Inc.,,Level 2/Secondary,(088) 222-2337
Valencia Sanitarium and Hospital,,Level 3/Tertiary,(088) 828-2212
Bukidnon Community Health Care Center,,Level 1/Primary,(088) 828-1489
Detecio Community Hospital,,Level 1/Primary,
"Bethel Baptist Hospital, Inc.",,Level 2/Secondary,(088) 221-2256/813-2229
Malaybalay Medical Hospital,,Level 1/Primary,(088) 221-2254/813-2500
Malaybalay Polymedic General Hospital,"Fortich St. Brgy. 8 Malaybalay City, Bukidnon",Level 2/Secondary,(088) 221-2316/813-4016
Cotabato Sanitarium,"Brgy. Ungap, Sultan Kudarat, Maguindanao Cotabato City",Level 1/Primary-DOH Retained,064-4290082
"Anecito T. Pesante Sr. Memorial Hospital, Inc.","Cor. Tieza Pioneer St., Pob. 1, Midsayap,Cotabato",Level 2/Secondary,0920-8078379
St. Jude Thaddeus Women & Children's Hospital,"Datu Mampaalong St. Brgy 6 Malaybalay City, Bukidnon",Level 2/Secondary,(088) 813-4834
"Antipas Medical Specialists Hosp.,Inc.","F. Cajelo St. Pob. Antipas, North Cotabato",Level 2/Secondary,0918-4773305
Dr. Jose Fabella Memorial Hospital,"Lope de Vega St., Sta. Cruz, Manila",Level 4/Specialty,7357144
Dr. Jose Reyes Memorial Medical Center,"San Lazaro Compound, Rizal Avenue, Sta. Cruz, Manila",Level 4/Specialty,7119491
R and L Medical Clinic,"7206 Palayan, Aloran Misamis Occidental",Level 1/Primary,(088) 586-0288
Bonifacio Medical Clinic,"Bonifacio, Misamis Occidental",Level 1/Primary,(088) 586-0030
Clinica Ozaraga,"Bonifacio, Misamis Occidental",Level 1/Primary,0918-7297714/ (088) 586-0007
Birhen Sa Regla Medical Clinic,"Bual, Tulunan, Cotabato",Level 1/Primary,0918-5992934
Revelo Medical Clinic,,Level 1/Primary,0917-7227260
Luis Villa Memorial Hospital,,Level 2/Secondary,(088) 521-4112
Uy Medical Clinic,"Osmena St. Sta. Cruz, Jimenez Misamis Occidental",Level 1/Primary,(088) 521-4112
Susano Uy Memorial Hospital Inc.,"Eastern Poblacion Lopez Jaena, Misamis Occidental",Level 1/Primary,0919-3589610
Cadulong Medical Clinic,"57 M.L. Quezon St., Pikit, North Cotabato",Level 1/Primary,
Tanho Medical Clinic,"Plaridel, Misamis Occidental",Level 1/Primary,(088) 334-8308
Norzagaray Municipal Hospital,"Poblacion, Norzagaray, Bulacan, Philippines",Level 2/Secondary,044-6941336;6942790
Drazen Community Hospital,"Sinacaban, Misamis Occidental",Level 1/Primary,0918-4602162
"Dignum Foundation Hospital, Inc.","Lower Lancangan, Oroquieta City Misamis Occidental",Level 1/Primary,(088) 531-0235
Tamola-Tan Medical Hospital,"Canubay, Oroquieta City Misamis Occidental",Level 1/Primary,(088) 531-0196
Babol General Hospital,"252 Magsaysay St., Pob., Matalam, North Cotabato",level 1/primary,
Oroquieta Community Hospital,J.P. Quijano St. Oroquieta City Misamis Occidental,Level 1/Primary,(088) 531-1858
Cruzado Medical Clinic Hospital,"Poblacion Pikit, North Cotabato",Level 1/Primary,
St. Therese Hospital,Layawan-Bonifacio St. Oroquieta City Misamis Occidental,Level 2/Secondary,(088) 531-1274/ (088) 532-1158
Medina General Hospital,Level 3,,(088) 521-1816/ (088) 521-0125
Faith Hospital,,Level 2/Secondary,(088) 521-0018/2379
Misamis University Medical Center,"Bagakay, Ozamis City",Level 3/Tertiary,(088) 521-2411/12 / (088) 521-2413 fax
Misamis Community Hospital,"Green Valley, Tinago Ozamis City",Level 1/Primary,(088) 521-1818
Ozamis City St. Joseph General Hospital,Washington St. Ozamis City,Level 1/Primary,(088) 521-1726
Dizon Medical Clinic And Hospital,"J.P. Laurel St., Kidapawan City, North Cotabato",level 2/secondary,
Roa Medical Clinic - Balingasag,"Cogon Balingasag, Misamis Oriental",Level 1/Primary,0918-8789935
Polymedic General Hospital,"PHIVIDEC Compound, Tagoloan Misamis Oriental",Level 3/Tertiary,(088) 890-3070/ (088) 890-3072
Dr. Herman Sorongon Sr. Hospital,"Mlang, North Cotabato",Level 1/Primary,064-4520217/ 2684013
Dr. Luis P. Malaluan Hospital,"085 Perez St., Poblacion Kidapawan City North Cotabato",Level 1/Primary,064-2881836
Madonna and Child Hospital,J.V. Serina St. Cagayan de Oro City,Level 3/Tertiary,(088) 227-25003/723-230
Sabal Hospital Inc.,292 A. Velez Street Cagayan de Oro City,Level 2/Secondary,(088) 227-27247/723179/856-2611
Dr. Roland P. Dela Cruz Memorial Hospital,"Pob 8, Midsayap, Cotabato",Level 1/Primary,064-2298421
Maria Reyna Hospital,"Pinikitan, Cagayan de Oro City",Level 4/Specialty,(088) 227-25210/ 725103/ 727530
Del Monte Bugo Clinic,Bugo Cagayan de Oro City,Level 1/Primary,(088) 855-4312 local 2552
Capitol University Medical City Foundation Inc.,Gusa Highway Cagayan de Oro City,Level 3/Tertiary,(088) 856-4706/856-4714/856-4730/856-4970/724326
Cagayan de Oro Polymedic General Hospital,Don Apolinario Velez St. Cagayan de Oro City,Level 3/Tertiary,(088) 227-24914/ 722145/ 725733/ 8564185/ 8564465 fax
Cagayan de Oro Medical Center,Tiano-Nacalaban St. Cagayan de Oro City,Level 3/Tertiary,(088) 227-11874/ 711875/ 8564712
Cagayan de Oro Polymedic Medical Plaza,Kauswagan Cagayan de Oro City,Level 3/Tertiary,(088) 858-5858 / 858-5884 fax
Sta. Cruz Hospital,"F. Fajardo Street, Poblacion, Calumpit, Bulacan, Philippines",Category Level 2/Secondary,044-2024263/9131462
San Lazaro Hospital,"Quiricada Street, Sta. Cruz, Manila",Level 4/Specialty,7323777/7116966/3099552
Puerto Community Hospital,"Puerto, Cagayan de Oro City",Level 2/Secondary,(088) 855-5088/ 740689
Calumpit District Hospital,"Caniogan, Calumpit, Bulacan, Philippines",,
Cagayan de Oro Maternity Children's Hospital and Puericulture Center,,Level 2/Secondary,(088) 227-25810/ 723394/ 857-1658/ 858-6772
Xu Community Health Care Center,Mortola Hayes Street Cagayan de Oro City,Level 2/Secondary,(088) 227-26676/ 857-2143
Lipunan Hospital,,Level 2/Secondary,(088) 421-7618/ 861-0428
San Pablo City General Hospital,"Banagale Subd., Brgy. San Jose, San Pablo City, Laguna",Level 1,
Gingoog Sanitarium Hospital,,Level 2/Secondary,(088) 427-323
Mercy Community Hospital Inc.,,Level 3/Tertiary,(063) 221-3762/ 1156
Florencio V. Bernabe Sr. Memorial Hospital,"1440 Quirino Avenue, La Huerta, Parañaque City",Level 2/Secondary,8254902/8264060
Mindanao Sanitarium and Hospital,"Tibanga Iligan City, Lanao del Norte",Level 4/Specialty,(063) 221-3029/ 9987
Gat Andres Memorial Medical Center,"8001 Delpan Street, Tondo, Manila",Level 3/Tertiary,2412606/2454366
Mary Johnston Hospital,"1221 Nolasco Street, Tondo,Manila 1012",Level 4/Specialty,2454021-45
Rogaciano M. Mercado Memorial Hospital,"Poblacion, Sta. Maria, Bulacan, Philippines",Level 2/ Secondary,044-6413038; 6414143
